legacy	candidate	commit	creatordate	status
0.1.6.5	v0.49.4	587aa933e21cd1d55ea9c4a09aee0c9c3fde0a2a	2020-09-15T08:29:23-03:00	ok
0.1.6.6	v0.49.5	2c1a744d319714c4dfe76bcc24badaf443ab78a5	2020-09-15T08:43:04-03:00	ok
0.1.6.7	v0.49.6	46546f32b5de837effb24853c970808c87f59493	2020-09-15T08:57:08-03:00	ok
0.1.6.8	v0.49.7	31ead1014b8ba96b3cf5093b3021000fb0751edd	2020-09-15T09:01:15-03:00	ok
0.1.6.9	v0.49.8	fcd7e33f8d498fe5556c387b5b559aed7245dc9e	2020-09-15T09:19:21-03:00	ok
0.1.6.10	v0.50.0	9c89143dcf4f6f60e0a1ec27b485af7e66570ef4	2020-09-15T13:53:01-03:00	ok
0.1.6.11	v0.51.0	bdf42611dc69cb350c69be3b10fc0647e992a266	2020-09-15T14:44:01-03:00	ok
0.1.6.12	v0.52.0	29e7b8d02ee654df2614444bf21bf4b019afd6a0	2020-09-15T23:41:27-03:00	ok
0.1.7.0	v0.53.0	83c5e8bf69763ed9ffc1110f27e1ddbd8ea3996b	2020-09-16T04:36:50-03:00	ok
0.1.8.4	v0.53.1	e151156fa270cc0205d4811ef84883a91671baf4	2020-09-22T23:59:58-03:00	ok
0.1.9.17	v0.53.2	d3390c76f8dc6990461802d3d2a81ffaf068b7d3	2020-10-08T04:32:17-03:00	ok
0.1.7.2	v0.54.0	e212a0cafeb2d67d2a2fdd00c31a5f578ebf8f0d	2021-05-04T17:46:01-03:00	ok
0.1.7.3	v0.55.0	768e6f3a59321048e7aa5105cabf99d1e259b6f4	2021-11-26T23:15:08-03:00	ok
0.1.7.4	v0.56.0	c3c5562161a08ed56d93fe34a4c8a58bc53d87ea	2021-11-27T15:42:11-03:00	ok
0.1.7.5	v0.57.0	28285b1b24bec58e395d1e4660e0a1f2fd537b9b	2022-01-12T18:35:05-03:00	ok
0.1.8.0	v0.58.0	84f893f5f6364f8b2d2332c3dd6791f5270c006c	2022-01-13T16:58:27-03:00	ok
0.1.8.1	v0.58.1	996fad673ed2950b4bd767f3e33f28d063b6d7fe	2022-01-18T17:04:42-03:00	ok
0.1.8.2	v0.59.0	154e8ce67e409469335be932d62f50be139c0a86	2022-01-18T17:32:15-03:00	ok
0.1.8.3	v0.59.1	8fa1a5b9831f7cfbac52481a41feeb7694a6ef6d	2022-01-25T01:58:11-03:00	ok
0.1.9.0	v0.60.0	89d56c5e626dd051b62692d16359786debdc1516	2022-01-25T06:56:58-03:00	ok
0.1.9.1	v0.60.1	816a522f5b6a877a86154ac29f0db1d74e063b21	2022-01-25T08:17:47-03:00	ok
0.1.9.2	v0.62.0	a7d52c0746406f741326c9acefca5bc68a1855e7	2022-01-25T18:49:31-03:00	ok
0.1.9.3	v0.62.2	0dd3c1f026dcda63961e0c36564e71d1242ff29b	2022-01-26T17:54:14-03:00	ok
0.1.9.4	v0.62.3	417e8fcfe5419b6b56c21f60459db10bd061cdfc	2022-01-26T21:02:00-03:00	ok
0.1.9.5	v0.62.4	3956523a96d05b31866eca7a43fd96ac735afa1c	2022-01-27T16:02:32-03:00	ok
0.1.9.6	v0.62.5	e8e8042b9ed72f53db7020883cd2ecef8b76a599	2022-01-27T16:56:50-03:00	ok
0.1.9.8	v0.63.0	4a7c7a3167b9dd93cd53097aeda3a0ff1053ed78	2022-01-28T18:32:30-03:00	ok
0.1.9.9	v0.63.1	b5870cd2f1e39c84ecebe97f512ba5fcb6096706	2022-01-30T15:49:05-03:00	ok
0.1.9.10	v0.63.2	46fd89e4fc425f44c789a98fe86b81b45a7b6b5a	2022-02-03T10:44:27-03:00	ok
0.1.9.11	v0.63.3	a53787fff554583bfc817a948523dcad5133312f	2022-02-03T11:39:49-03:00	ok
0.1.9.12	v0.63.4	cba79f1a56d590202bb8c26d9fdfb56c1e070180	2022-02-04T18:14:45-03:00	ok
0.1.9.13	v0.63.5	f6a4799372c7f276d66ef02d793a3c79413ae83e	2022-02-08T19:54:15-03:00	ok
0.1.9.14	v0.63.6	490452dc49461f607d46fb01e061e8d614b0c152	2022-02-17T19:17:55-03:00	ok
0.1.9.15	v0.63.7	740023d0ade7ba41be9143bd7a742de03b7c6bf5	2022-03-03T18:29:17-03:00	ok
0.1.10.0	v0.63.8	2ca712877c4c9bb8d22bcfd9a9df7b0c499007da	2022-03-04T16:00:45-03:00	ok
0.1.10.1	v0.63.9	81461ed7b414bfbf495f08874a47c678abc350ce	2022-03-04T18:38:10-03:00	ok
0.1.10.2	v0.63.10	2a17a04e5a4a2a696e7d1eecf398ccba605f5e91	2022-03-05T13:26:26-03:00	ok
0.1.11.0	v0.63.11	805874a22aa611aa0118a724430ec1f99d7b2d1a	2022-03-06T01:49:50-03:00	ok
0.1.11.1	v0.63.12	16304394b1259be9d4899a791434d7fb96a99dd4	2022-03-08T12:02:31-03:00	ok
0.1.12.0	v0.63.13	3d679e6423dcf8d3ec2318555f848aba45a112c9	2022-03-09T19:19:44-03:00	ok
0.1.12.1	v0.64.1	73be1bf26512b11c0c9dff0d9e1eff8b9bfca4ea	2022-03-09T20:43:48-03:00	ok
0.1.12.2	v0.64.2	cbfa33d41a38d6383d86ec5767150e066075af18	2022-03-09T20:53:21-03:00	ok
0.1.12.3	v0.64.3	08ba4d02834c0201e05f1cd3c50e31e599523e6c	2022-03-10T17:09:02-03:00	ok
0.1.12.4	v0.64.4	b0fcfd09b24ba5e08979c1b874973ffbcf67fab6	2022-03-10T20:13:39-03:00	ok
0.1.13.0	v0.64.5	367a05e9e3a4346ea39046abd47e963093305cd9	2022-03-11T20:54:14-03:00	ok
0.1.13.1	v0.64.6	72ab57fbaade4dd057669645e3c362cd01c718a1	2022-03-11T21:13:54-03:00	ok
0.1.14.0	v0.64.7	448bdd2e6dec507196377ae48c1cda9983387359	2022-03-15T22:52:17-03:00	ok
0.1.14.1	v0.65.1	a08f833e77d5016e6727fda534a9c0c35b893f49	2022-03-16T11:43:09-03:00	ok
0.1.14.2	v0.65.2	65289fd3249e41e7e6569774c3ca9e339d974644	2022-03-16T21:18:29-03:00	ok
0.1.14.3	v0.65.3	5f68020b37b5b859fd69201ada4ad66b55fd5ee0	2022-03-17T20:11:40-03:00	ok
0.1.15.0	v0.65.4	b08c5a0f1b0018fd5ed38ced88d48dacedd4206e	2022-03-21T19:57:52-03:00	ok
0.1.15.1	v0.65.5	801983f6c3dc7113fb5e233b3ad5a948be64357a	2022-03-21T20:57:13-03:00	ok
0.1.16.0	v0.65.6	6983beec702acd4a80fcb34ac236399953e65c94	2022-03-23T12:43:08-03:00	ok
0.1.16.1	v0.66.0	207276b30db070bcfa69a82f9e728f311aeeef57	2022-03-23T18:35:52-03:00	ok
0.1.17.1	v0.66.2	4e5fc9ad4d96c0029ef82cff5801f05916951a99	2022-03-24T11:38:18-03:00	ok
0.1.17.2	v0.66.3	ba84ea6e7e8bef2221f8af1b493fd678d9cd9696	2022-03-24T12:25:59-03:00	ok
0.1.17.3	v0.66.4	b4f43e1536ae98b2be026d17c4b4be59b233f28d	2022-03-25T19:19:16-03:00	ok
0.1.17.4	v0.66.5	ccc2d4b28d80a4ab5d97b996b5944d32a943cbd8	2022-03-25T23:01:17-03:00	ok
0.1.17.5	v0.66.6	7942de484cf36f68bb10d13d57ddb339e0cb8727	2022-03-26T19:17:29-03:00	ok
0.1.18.0	v0.67.0	01d295ed4b8697b9dac0d9cf139bb5b91c86bc68	2022-03-29T21:24:02-03:00	ok
0.1.18.1	v0.67.1	8637988306813807205b1f49e94a5fd03419044a	2022-03-30T21:40:31-03:00	ok
0.1.18.2	v0.68.0	c7c47556c2d7b83ad337cd3cce91baf70cb6eaa4	2022-03-31T17:14:49-03:00	ok
0.1.18.3	v0.69.1	63c26a72050a0e6e4a0196348844a20da9364e7a	2022-04-18T18:37:28-03:00	ok
0.1.9.16	v0.69.2	64d6d559843d80d9c634e9329b3c278ab6359571	2022-08-21T17:25:24-03:00	ok
0.1.10.3	v0.69.3	4963a2d6b34979adcdfcc65ed64ad8d0cc8b2912	2022-08-22T21:42:39-03:00	ok
0.1.19.0		4963a2d6b34979adcdfcc65ed64ad8d0cc8b2912	2022-08-22T21:42:39-03:00	alias
0.1.20.0	v0.70.1	b7eaef7eb88f8def7aadf7ca67bc7f049252df33	2022-08-23T12:30:11-03:00	ok
0.1.21.0	v0.70.2	cc19a22c4bf006b69bc1e8b87152986b9b5a0da7	2022-08-23T13:17:15-03:00	ok
0.1.22.0	v0.71.1	c288179b6dd89d87cba1d6bcf3fae1402c28b5b7	2022-08-23T22:05:21-03:00	ok
0.1.23.0	v0.71.2	9271683d1d120b72720c328400f4f2c130637d9c	2022-08-24T01:18:04-03:00	ok
0.1.24.0	v0.71.3	36aeaa012b1fa2f127f3e50f41dce17e172d970f	2022-08-31T02:18:34-03:00	ok
0.1.25.0	v0.71.4	257d2b4b9e0bc5d5db161998b344b60e0d3d88dc	2022-09-17T00:57:02-03:00	ok
0.2.0.0	v0.72.0	53ea58a001deb215e516e30afe90d544a93de767	2022-10-13T01:07:34-03:00	ok
0.2.1.0	v0.72.1	d483820c96ad867e35ceb363248c59adcf6bebd3	2022-10-13T01:17:38-03:00	ok
0.2.2.0	v0.72.2	51495d2de442495dff6850ed2d05041678805acd	2022-10-13T02:30:57-03:00	ok
0.2.3.0	v0.73.0	a540e72e29754fe16bdfc8be15afc5313f2ed4b3	2022-10-13T22:03:28-03:00	ok
